Agregados macroeconómicos;Total CNAE;CNAE Agrupación A10;CNAE Agrupación A21;CNAE Agrupación A64;Periodo;Total
Producción;Total CNAE;;;;2024;2.946.682
Producción;Total CNAE;;;;2023;2.787.473
Producción;Total CNAE;;;;2022;2.664.587
Producción;Total CNAE;;;;2021;2.280.636
Producción;Total CNAE;;;;2020;2.030.323
Producción;Total CNAE;;;;2019;2.255.859
Producción;Total CNAE;;;;2018;2.171.029
Producción;Total CNAE;;;;2017;2.077.118
Producción;Total CNAE;;;;2016;1.969.898
Producción;Total CNAE;;;;2015;1.939.466
Producción;Total CNAE;;;;2014;1.884.381
Producción;Total CNAE;;;;2013;1.852.544
Producción;Total CNAE;;;;2012;1.897.530
Producción;Total CNAE;;;;2011;1.966.146
Producción;Total CNAE;;;;2010;1.973.881
Producción;Total CNAE;;;;2009;1.994.019
Producción;Total CNAE;;;;2008;2.182.913
Producción;Total CNAE;;;;2007;2.151.601
Producción;Total CNAE;;;;2006;2.002.881
Producción;Total CNAE;;;;2005;1.819.373
Producción;Total CNAE;;;;2004;1.656.301
Producción;Total CNAE;;;;2003;1.531.685
Producción;Total CNAE;;;;2002;1.428.956
Producción;Total CNAE;;;;2001;1.315.527
Producción;Total CNAE;;;;2000;1.210.179
Producción;Total CNAE;;;;1999;1.085.147
Producción;Total CNAE;;;;1998;1.000.250
Producción;Total CNAE;;;;1997;931.404
Producción;Total CNAE;;;;1996;870.432
Producción;Total CNAE;;;;1995;815.122
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;;;2024;77.382
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;;;2023;76.428
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;;;2022;70.567
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;;;2021;65.538
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;;;2020;59.667
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;;;2019;59.571
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;;;2018;60.221
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;;;2017;58.304
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;;;2016;56.241
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;;;2015;54.973
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;;;2014;50.421
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;;;2013;52.197
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;;;2012;47.945
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;;;2011;47.878
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;;;2010;46.539
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;;;2009;43.517
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;;;2008;47.414
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;;;2007;47.617
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;;;2006;42.408
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;;;2005;43.002
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;;;2004;45.591
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;;;2003;45.563
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;;;2002;42.840
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;;;2001;41.852
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;;;2000;39.536
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;;;1999;37.425
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;;;1998;37.936
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;;;1997;37.112
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;;;1996;36.473
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;;;1995;31.880
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;;2024;77.382
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;;2023;76.428
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;;2022;70.567
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;;2021;65.538
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;;2020;59.667
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;;2019;59.571
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;;2018;60.221
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;;2017;58.304
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;;2016;56.241
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;;2015;54.973
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;;2014;50.421
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;;2013;52.197
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;;2012;47.945
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;;2011;47.878
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;;2010;46.539
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;;2009;43.517
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;;2008;47.414
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;;2007;47.617
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;;2006;42.408
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;;2005;43.002
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;;2004;45.591
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;;2003;45.563
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;;2002;42.840
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;;2001;41.852
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;;2000;39.536
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;;1999;37.425
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;;1998;37.936
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;;1997;37.112
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;;1996;36.473
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;;1995;31.880
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;01 Agricultura, ganadería, caza y servicios relacionados con las mismas;2024;..
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;01 Agricultura, ganadería, caza y servicios relacionados con las mismas;2023;70.778
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;01 Agricultura, ganadería, caza y servicios relacionados con las mismas;2022;65.005
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;01 Agricultura, ganadería, caza y servicios relacionados con las mismas;2021;60.108
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;01 Agricultura, ganadería, caza y servicios relacionados con las mismas;2020;54.963
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;01 Agricultura, ganadería, caza y servicios relacionados con las mismas;2019;54.417
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;01 Agricultura, ganadería, caza y servicios relacionados con las mismas;2018;55.034
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;01 Agricultura, ganadería, caza y servicios relacionados con las mismas;2017;53.112
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;01 Agricultura, ganadería, caza y servicios relacionados con las mismas;2016;51.210
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;01 Agricultura, ganadería, caza y servicios relacionados con las mismas;2015;50.064
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;01 Agricultura, ganadería, caza y servicios relacionados con las mismas;2014;45.538
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;01 Agricultura, ganadería, caza y servicios relacionados con las mismas;2013;47.508
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;01 Agricultura, ganadería, caza y servicios relacionados con las mismas;2012;43.441
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;01 Agricultura, ganadería, caza y servicios relacionados con las mismas;2011;43.248
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;01 Agricultura, ganadería, caza y servicios relacionados con las mismas;2010;42.344
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;01 Agricultura, ganadería, caza y servicios relacionados con las mismas;2009;39.335
