Comunidades y ciudades autónomas;Ramas de actividad;Magnitud;Periodo;Total
Andalucía;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Valor;2022(A);180.224.284
Andalucía;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Valor;2021(P);164.003.435
Andalucía;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Valor;2020;148.779.089
Andalucía;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Valor;2019;164.929.489
Andalucía;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Valor;2018;160.586.830
Andalucía;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Valor;2017;155.397.322
Andalucía;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Valor;2016;148.401.635
Andalucía;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Tasas de variación interanuales;2022(A);9,9
Andalucía;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Tasas de variación interanuales;2021(P);10,2
Andalucía;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Tasas de variación interanuales;2020;-9,8
Andalucía;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Tasas de variación interanuales;2019;2,7
Andalucía;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Tasas de variación interanuales;2018;3,3
Andalucía;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Tasas de variación interanuales;2017;4,7
Andalucía;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Tasas de variación interanuales;2016;..
Andalucía;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Estructura porcentual;2022(A);100
Andalucía;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Estructura porcentual;2021(P);100
Andalucía;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Estructura porcentual;2020;100
Andalucía;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Estructura porcentual;2019;100
Andalucía;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Estructura porcentual;2018;100
Andalucía;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Estructura porcentual;2017;100
Andalucía;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Estructura porcentual;2016;100
Andalucía;A. Agricultura, ganadería, silvicultura y pesca;Valor;2022(A);10.178.135
Andalucía;A. Agricultura, ganadería, silvicultura y pesca;Valor;2021(P);10.862.905
Andalucía;A. Agricultura, ganadería, silvicultura y pesca;Valor;2020;9.659.346
Andalucía;A. Agricultura, ganadería, silvicultura y pesca;Valor;2019;9.079.829
Andalucía;A. Agricultura, ganadería, silvicultura y pesca;Valor;2018;10.443.559
Andalucía;A. Agricultura, ganadería, silvicultura y pesca;Valor;2017;10.745.222
Andalucía;A. Agricultura, ganadería, silvicultura y pesca;Valor;2016;9.613.679
Andalucía;A. Agricultura, ganadería, silvicultura y pesca;Tasas de variación interanuales;2022(A);-6,3
Andalucía;A. Agricultura, ganadería, silvicultura y pesca;Tasas de variación interanuales;2021(P);12,5
